epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4476,1.93156,4.39259,2.10052,0.00333,1,0.00682,0.00448,0.84024,4.03635,1.16262,0.00016,0.00016,0.00016
2,25.6746,1.27571,3.18392,1.34334,0.00333,1,0.995,0.77956,0.92761,3.29717,0.88955,0.00032878,0.00032878,0.00032878
3,37.5107,1.12374,2.73968,1.14406,0.00333,1,0.995,0.66331,1.13268,3.29287,0.93098,0.00048568,0.00048568,0.00048568
4,49.0143,1.26974,2.25853,1.14483,0.00333,1,0.995,0.60911,1.28999,3.23854,0.99503,0.0006307,0.0006307,0.0006307
5,60.9045,1.21638,1.79607,1.19741,1,0.48198,0.995,0.62637,1.23168,3.1979,0.99869,0.00076384,0.00076384,0.00076384
6,72.5763,1.24895,1.95086,1.19387,0.38196,1,0.92667,0.45485,1.19948,3.40635,1.09434,0.0008851,0.0008851,0.0008851
7,84.1696,1.1841,1.77334,1.14143,1,0.85689,0.995,0.62595,1.13144,2.86952,1.0751,0.00099448,0.00099448,0.00099448
8,95.8633,1.22643,1.6756,1.12994,1,0.7764,0.995,0.55046,1.17129,2.96553,1.07779,0.00109198,0.00109198,0.00109198
9,107.602,1.30531,1.82085,1.22031,1,0.61576,0.94786,0.52455,1.18897,3.19034,1.15545,0.0011776,0.0011776,0.0011776
10,119.26,1.26652,1.78523,1.23298,0.78868,0.33333,0.79341,0.53679,1.05314,3.02974,1.09901,0.00125134,0.00125134,0.00125134
11,130.778,1.23552,1.74448,1.2243,0.14328,0.66667,0.177,0.0933,1.44543,3.219,1.35384,0.0013132,0.0013132,0.0013132
12,142.371,1.20651,1.68473,1.21654,0.53641,0.77588,0.52789,0.38344,1.02189,2.30751,1.11856,0.001274,0.001274,0.001274
13,153.946,1.196,1.64167,1.18808,0.71635,0.83333,0.89833,0.71837,0.82273,1.93141,0.99605,0.001208,0.001208,0.001208
14,165.724,1.12071,1.56746,1.18718,0.98789,0.83333,0.97214,0.77396,0.71189,1.79506,0.98236,0.001142,0.001142,0.001142
15,177.177,1.08233,1.47717,1.14641,1,0.98044,0.995,0.81529,0.83143,1.65912,1.04867,0.001076,0.001076,0.001076
16,188.88,1.13718,1.52927,1.15898,1,0.99246,0.995,0.76485,0.87981,1.61508,1.07361,0.00101,0.00101,0.00101
17,200.438,1.12337,1.44054,1.1743,1,0.97833,0.995,0.70878,0.99922,1.74007,1.18453,0.000944,0.000944,0.000944
18,211.788,1.07659,1.63125,1.15165,0.99071,0.66667,0.885,0.66956,0.94927,1.84171,1.12695,0.000878,0.000878,0.000878
19,223.351,1.15582,1.44366,1.12091,0.9484,1,0.995,0.74145,0.9079,1.86074,1.07735,0.000812,0.000812,0.000812
20,235.135,1.15349,1.37837,1.17426,1,0.99696,0.995,0.74145,0.98416,1.67294,1.11181,0.000746,0.000746,0.000746
21,246.955,1.09755,1.52237,1.11491,1,0.99819,0.995,0.69962,0.99329,1.47401,1.16477,0.00068,0.00068,0.00068
22,258.131,1.10351,1.46356,1.16776,0.98861,1,0.995,0.71804,0.87781,1.50978,1.0903,0.000614,0.000614,0.000614
23,269.666,1.09184,1.43296,1.17176,0.97946,1,0.995,0.72747,0.89189,1.51561,1.05202,0.000548,0.000548,0.000548
24,281.195,0.98051,1.3985,1.09325,0.97603,1,0.995,0.77767,0.98402,1.62472,1.05459,0.000482,0.000482,0.000482
25,292.63,0.93732,1.3904,1.09244,0.97717,1,0.995,0.7746,0.96178,1.563,1.04501,0.000416,0.000416,0.000416
26,303.984,0.93961,1.28923,1.07234,0.98872,1,0.995,0.80225,0.91279,1.43422,1.02378,0.00035,0.00035,0.00035
27,315.403,0.87151,1.28696,1.05211,0.98876,1,0.995,0.79956,0.83396,1.24773,0.98702,0.000284,0.000284,0.000284
28,326.832,0.84884,1.23812,0.97905,0.98985,1,0.995,0.80096,0.78662,1.21023,0.9684,0.000218,0.000218,0.000218
29,337.989,0.8585,1.1599,1.02696,0.99063,1,0.995,0.82684,0.75793,1.17747,0.95967,0.000152,0.000152,0.000152
30,349.361,0.9235,1.23493,1.06253,0.99151,1,0.995,0.82684,0.72389,1.14185,0.94908,8.6e-05,8.6e-05,8.6e-05
